,src1,src2,profile,ch,mass,quantile,sigma_v
333,CBe,Wil1,Einasto,tau,5000,0.68,6.862404254007165e-25
334,CBe,Wil1,Einasto,tau,5000,0.95,1.121660192769874e-24
335,CBe,Wil1,Einasto,tau,10000,0.05,4.942860486645062e-25
336,CBe,Wil1,Einasto,tau,10000,0.32,7.875107681009194e-25
337,CBe,Wil1,Einasto,tau,10000,0.5,9.644013894433689e-25
338,CBe,Wil1,Einasto,tau,10000,0.68,1.1666872530257403e-24
339,CBe,Wil1,Einasto,tau,10000,0.95,1.8974431476929927e-24
340,CBe,Wil1,Einasto,tau,50000,0.05,3.4097959165464485e-24
341,CBe,Wil1,Einasto,tau,50000,0.32,5.5055288974469365e-24
342,CBe,Wil1,Einasto,tau,50000,0.5,6.85108908874455e-24
343,CBe,Wil1,Einasto,tau,50000,0.68,8.578824847940872e-24
344,CBe,Wil1,Einasto,tau,50000,0.95,1.3702099773835307e-23
345,CBe,Wil1,Einasto,tau,100000,0.05,1.01157913931209e-23
346,CBe,Wil1,Einasto,tau,100000,0.32,1.618497538899443e-23
347,CBe,Wil1,Einasto,tau,100000,0.5,2.0279690874585842e-23
348,CBe,Wil1,Einasto,tau,100000,0.68,2.5528017167724807e-23
349,CBe,Wil1,Einasto,tau,100000,0.95,4.235368641894017e-23
